Taxa,Year,Location,Plant_height,Plant height collected in 2015 was new data in present study
PR1314_1061,2015,Manhattan,101.333333333333,
PR1314_1062,2015,Manhattan,120,
PR1314_1063,2015,Manhattan,148,
PR1314_1064,2015,Manhattan,206,
PR1314_1065,2015,Manhattan,125.333333333333,
PR1314_1066,2015,Manhattan,163.333333333333,
PR1314_1067,2015,Manhattan,165.333333333333,
PR1314_1069,2015,Manhattan,139.333333333333,
PR1314_1070,2015,Manhattan,123.333333333333,
PR1314_1073,2015,Manhattan,184.666666666667,
PR1314_1074,2015,Manhattan,171.333333333333,
PR1314_1075,2015,Manhattan,142.666666666667,
PR1314_1076,2015,Manhattan,188,
PR1314_1077,2015,Manhattan,89.3333333333333,
PR1314_1078,2015,Manhattan,172.666666666667,
PR1314_1079,2015,Manhattan,208,
PR1314_1080,2015,Manhattan,199.333333333333,
PR1314_1081,2015,Manhattan,101.333333333333,
PR1314_1082,2015,Manhattan,136,
PR1314_1084,2015,Manhattan,84,
PR1314_1085,2015,Manhattan,80.6666666666667,
PR1314_1088,2015,Manhattan,207.333333333333,
PR1314_1089,2015,Manhattan,133.333333333333,
PR1314_1090,2015,Manhattan,140.666666666667,
PR1314_1091,2015,Manhattan,157.333333333333,
PR1314_1092,2015,Manhattan,169.333333333333,
PR1314_1093,2015,Manhattan,224.666666666667,
PR1314_1094,2015,Manhattan,218,
PR1314_1095,2015,Manhattan,172.666666666667,
PR1314_1096,2015,Manhattan,187.333333333333,
PR1314_1097,2015,Manhattan,102,
PR1314_1098,2015,Manhattan,111.333333333333,
PR1314_1099,2015,Manhattan,146,
PR1314_1101,2015,Manhattan,232,
PR1314_1102,2015,Manhattan,136.666666666667,
PR1314_1103,2015,Manhattan,131.333333333333,
PR1314_1104,2015,Manhattan,185.333333333333,
PR1314_1107,2015,Manhattan,222,
PR1314_1108,2015,Manhattan,176,
PR1314_1109,2015,Manhattan,148,
PR1314_1110,2015,Manhattan,113.333333333333,
PR1314_1111,2015,Manhattan,138.666666666667,
PR1314_1112,2015,Manhattan,115.333333333333,
PR1314_1113,2015,Manhattan,162.666666666667,
PR1314_1114,2015,Manhattan,171.333333333333,
PR1314_1115,2015,Manhattan,192.666666666667,
PR1314_1116,2015,Manhattan,167.333333333333,
PR1314_1117,2015,Manhattan,145.333333333333,
PR1314_1118,2015,Manhattan,216,
PR1314_1119,2015,Manhattan,194.666666666667,
PR1314_1120,2015,Manhattan,94.6666666666667,
PR1314_1121,2015,Manhattan,141.333333333333,
PR1314_1123,2015,Manhattan,106.666666666667,
PR1314_1124,2015,Manhattan,217.333333333333,
PR1314_1126,2015,Manhattan,154,
PR1314_1127,2015,Manhattan,102,
PR1314_1128,2015,Manhattan,172.666666666667,
PR1314_1129,2015,Manhattan,242,
PR1314_1130,2015,Manhattan,124,
PR1314_1132,2015,Manhattan,142,
PR1314_1133,2015,Manhattan,118,
PR1314_1134,2015,Manhattan,154.666666666667,
PR1314_1136,2015,Manhattan,176.666666666667,
PR1314_1137,2015,Manhattan,119.333333333333,
PR1314_1138,2015,Manhattan,96,
PR1314_1139,2015,Manhattan,116.666666666667,
PR1314_1140,2015,Manhattan,124.666666666667,
PR1314_1141,2015,Manhattan,166,
PR1314_1142,2015,Manhattan,150.666666666667,
PR1314_1143,2015,Manhattan,183.333333333333,
PR1314_1145,2015,Manhattan,126.666666666667,
PR1314_1146,2015,Manhattan,124.666666666667,
PR1314_1147,2015,Manhattan,110.666666666667,
PR1314_1148,2015,Manhattan,138,
PR1314_1149,2015,Manhattan,167.333333333333,
PR1314_1150,2015,Manhattan,134,
PR1314_1151,2015,Manhattan,200,
PR1314_1152,2015,Manhattan,91.3333333333333,
PR1314_1153,2015,Manhattan,94.6666666666667,
PR1314_1154,2015,Manhattan,118.666666666667,
PR1314_1155,2015,Manhattan,138,
PR1314_1156,2015,Manhattan,158,
PR1314_1158,2015,Manhattan,141.333333333333,
PR1314_1159,2015,Manhattan,117.333333333333,
PR1314_1160,2015,Manhattan,128.666666666667,
PR1314_1161,2015,Manhattan,232.666666666667,
PR1314_1162,2015,Manhattan,120,
PR1314_1163,2015,Manhattan,126.666666666667,
PR1314_1164,2015,Manhattan,169.333333333333,
PR1314_1165,2015,Manhattan,155.333333333333,
PR1314_1166,2015,Manhattan,161.333333333333,
PR1314_1167,2015,Manhattan,207.333333333333,
PR1314_1168,2015,Manhattan,207.333333333333,
PR1314_1170,2015,Manhattan,206.666666666667,
PR1314_1171,2015,Manhattan,187.333333333333,
PR1314_1172,2015,Manhattan,142,
PR1314_1174,2015,Manhattan,239.333333333333,
PR1314_1175,2015,Manhattan,152,
PR1314_1251,2015,Manhattan,131.333333333333,
PR1314_1252,2015,Manhattan,101.333333333333,
PR1314_1253,2015,Manhattan,182,
PR1314_1254,2015,Manhattan,116.666666666667,
PR1314_1255,2015,Manhattan,188,
PR1314_1256,2015,Manhattan,154,
PR1314_1257,2015,Manhattan,127.333333333333,
PR1314_1258,2015,Manhattan,102.666666666667,
PR1314_1259,2015,Manhattan,84,
PR1314_1260,2015,Manhattan,169.333333333333,
PR1314_1261,2015,Manhattan,168.666666666667,
PR1314_1262,2015,Manhattan,162,
PR1314_1263,2015,Manhattan,168,
PR1314_1264,2015,Manhattan,153.333333333333,
PR1314_1265,2015,Manhattan,184.666666666667,
PR1314_1266,2015,Manhattan,131.333333333333,
PR1314_1267,2015,Manhattan,156.666666666667,
PR1314_1268,2015,Manhattan,171.333333333333,
PR1314_1269,2015,Manhattan,188.666666666667,
PR1314_1270,2015,Manhattan,168,
PR1314_1271,2015,Manhattan,164,
PR1314_1272,2015,Manhattan,160.666666666667,
PR1314_1273,2015,Manhattan,163.333333333333,
PR1314_1274,2015,Manhattan,142,
PR1314_1275,2015,Manhattan,96,
PR1314_1278,2015,Manhattan,128.666666666667,
PR1314_1279,2015,Manhattan,139.333333333333,
PR1314_1280,2015,Manhattan,136,
PR1314_1281,2015,Manhattan,168.666666666667,
PR1314_1282,2015,Manhattan,147.333333333333,
PR1314_1283,2015,Manhattan,147.333333333333,
PR1314_1284,2015,Manhattan,181.333333333333,
