Plot_ID	Pedigree	LIB	Family
PR1314_1278	Tx430/SC971	PR1314_1278:654	SC971_RIL
PR1314_1279	Tx430/SC971	PR1314_1279:655	SC971_RIL
PR1314_1280	Tx430/SC971	PR1314_1280:656	SC971_RIL
PR1314_1281	Tx430/SC971	PR1314_1281:657	SC971_RIL
PR1314_1282	Tx430/SC971	PR1314_1282:MERGE	SC971_RIL
PR1314_1283	Tx430/SC971	PR1314_1283:659	SC971_RIL
PR1314_1284	Tx430/SC971	PR1314_1284:660	SC971_RIL
PR1314_1285	Tx430/SC971	PR1314_1285:661	SC971_RIL
PR1314_1286	Tx430/SC971	PR1314_1286:662	SC971_RIL
PR1314_1287	Tx430/SC971	PR1314_1287:663	SC971_RIL
PR1314_1288	Tx430/SC971	PR1314_1288:664	SC971_RIL
PR1314_1289	Tx430/SC971	PR1314_1289:665	SC971_RIL
PR1314_1290	Tx430/SC971	PR1314_1290:666	SC971_RIL
PR1314_1291	Tx430/SC971	PR1314_1291:667	SC971_RIL
PR1314_1292	Tx430/SC971	PR1314_1292:668	SC971_RIL
PR1314_1293	Tx430/SC971	PR1314_1293:669	SC971_RIL
PR1314_1294	Tx430/SC971	PR1314_1294:670	SC971_RIL
PR1314_1295	Tx430/SC971	PR1314_1295:671	SC971_RIL
PR1314_1296	Tx430/SC971	PR1314_1296:672	SC971_RIL
PR1314_1297	Tx430/SC971	PR1314_1297:674	SC971_RIL
PR1314_1298	Tx430/SC971	PR1314_1298:675	SC971_RIL
PR1314_1299	Tx430/SC971	PR1314_1299:676	SC971_RIL
PR1314_1300	Tx430/SC971	PR1314_1300:MERGE	SC971_RIL
PR1314_1301	Tx430/SC971	PR1314_1301:678	SC971_RIL
PR1314_1302	Tx430/SC971	PR1314_1302:679	SC971_RIL
PR1314_1303	Tx430/SC971	PR1314_1303:680	SC971_RIL
PR1314_1304	Tx430/SC971	PR1314_1304:681	SC971_RIL
PR1314_1305	Tx430/SC971	PR1314_1305:MERGE	SC971_RIL
PR1314_1306	Tx430/SC971	PR1314_1306:683	SC971_RIL
PR1314_1307	Tx430/SC971	PR1314_1307:684	SC971_RIL
PR1314_1308	Tx430/SC971	PR1314_1308:MERGE	SC971_RIL
PR1314_1309	Tx430/SC971	PR1314_1309:686	SC971_RIL
PR1314_1310	Tx430/SC971	PR1314_1310:687	SC971_RIL
PR1314_1311	Tx430/SC971	PR1314_1311:688	SC971_RIL
PR1314_1312	Tx430/SC971	PR1314_1312:689	SC971_RIL
PR1314_1313	Tx430/SC971	PR1314_1313:690	SC971_RIL
PR1314_1314	Tx430/SC971	PR1314_1314:MERGE	SC971_RIL
PR1314_1315	Tx430/SC971	PR1314_1315:692	SC971_RIL
PR1314_1316	Tx430/SC971	PR1314_1316:693	SC971_RIL
PR1314_1317	Tx430/SC971	PR1314_1317:MERGE	SC971_RIL
PR1314_1318	Tx430/SC971	PR1314_1318:695	SC971_RIL
PR1314_1319	Tx430/SC971	PR1314_1319:696	SC971_RIL
PR1314_1320	Tx430/SC971	PR1314_1320:697	SC971_RIL
PR1314_1321	Tx430/SC971	PR1314_1321:698	SC971_RIL
PR1314_1322	Tx430/SC971	PR1314_1322:699	SC971_RIL
PR1314_1323	Tx430/SC971	PR1314_1323:700	SC971_RIL
PR1314_1324	Tx430/SC971	PR1314_1324:701	SC971_RIL
PR1314_1325	Tx430/SC971	PR1314_1325:702	SC971_RIL
PR1314_1326	Tx430/SC971	PR1314_1326:703	SC971_RIL
PR1314_1327	Tx430/SC971	PR1314_1327:704	SC971_RIL
PR1314_1328	Tx430/SC971	PR1314_1328:705	SC971_RIL
PR1314_1329	Tx430/SC971	PR1314_1329:MERGE	SC971_RIL
PR1314_1330	Tx430/SC971	PR1314_1330:707	SC971_RIL
PR1314_1331	Tx430/SC971	PR1314_1331:708	SC971_RIL
PR1314_1332	Tx430/SC971	PR1314_1332:709	SC971_RIL
PR1314_1333	Tx430/SC971	PR1314_1333:710	SC971_RIL
PR1314_1334	Tx430/SC971	PR1314_1334:711	SC971_RIL
PR1314_1335	Tx430/SC971	PR1314_1335:712	SC971_RIL
PR1314_1336	Tx430/SC971	PR1314_1336:713	SC971_RIL
PR1314_1337	Tx430/SC971	PR1314_1337:714	SC971_RIL
PR1314_1338	Tx430/SC971	PR1314_1338:715	SC971_RIL
PR1314_1339	Tx430/SC971	PR1314_1339:716	SC971_RIL
PR1314_1340	Tx430/SC971	PR1314_1340:717	SC971_RIL
PR1314_1341	Tx430/SC971	PR1314_1341:718	SC971_RIL
PR1314_1342	Tx430/SC971	PR1314_1342:719	SC971_RIL
PR1314_1343	Tx430/SC971	PR1314_1343:720	SC971_RIL
PR1314_1344	Tx430/SC971	PR1314_1344:721	SC971_RIL
PR1314_1345	Tx430/SC971	PR1314_1345:722	SC971_RIL
PR1314_1346	Tx430/SC971	PR1314_1346:723	SC971_RIL
PR1314_1347	Tx430/SC971	PR1314_1347:724	SC971_RIL
PR1314_1348	Tx430/SC971	PR1314_1348:725	SC971_RIL
PR1314_1349	Tx430/SC971	PR1314_1349:726	SC971_RIL
PR1314_1350	Tx430/SC971	PR1314_1350:727	SC971_RIL
PR1314_1351	Tx430/SC971	PR1314_1351:728	SC971_RIL
